birth,death,x_b,y_b,z_b,x_d,y_d,z_d
1.7,11.7,38.0,83.0,108.5,23.5,89.5,104.0
1.7,26.4,67.5,175.0,102.0,50.0,189.5,137.5
1.7,11.9,72.0,187.5,87.0,47.5,190.0,71.5
1.7,30.9,73.0,173.0,48.5,64.0,146.5,79.5
1.7,14.5,73.0,189.5,97.0,51.5,202.5,90.0
